cnn only run
iters per epoch: 50
number of epochs 500

Accuracy (0): 0.119
Accuracy (1): 0.267
Accuracy (2): 0.477
Accuracy (3): 0.556
Accuracy (4): 0.643
Accuracy (5): 0.706
Accuracy (6): 0.73
Accuracy (7): 0.756
Accuracy (8): 0.778
Accuracy (9): 0.788
Accuracy (10): 0.802
Accuracy (11): 0.821
Accuracy (12): 0.821
Accuracy (13): 0.823
Accuracy (14): 0.825
Accuracy (15): 0.826
Accuracy (16): 0.825
Accuracy (17): 0.824
Accuracy (18): 0.816
Accuracy (19): 0.823
Accuracy (20): 0.837
Accuracy (21): 0.836
Accuracy (22): 0.829
Accuracy (23): 0.823
Accuracy (24): 0.827
Accuracy (25): 0.832
Accuracy (26): 0.837
Accuracy (27): 0.832
Accuracy (28): 0.819
Accuracy (29): 0.834
Accuracy (30): 0.828
Accuracy (31): 0.832
Accuracy (32): 0.833
Accuracy (33): 0.835
Accuracy (34): 0.836
Accuracy (35): 0.823
Accuracy (36): 0.832
Accuracy (37): 0.835
Accuracy (38): 0.828
Accuracy (39): 0.839
Accuracy (40): 0.834
Accuracy (41): 0.838
Accuracy (42): 0.829
Accuracy (43): 0.821
Accuracy (44): 0.832
Accuracy (45): 0.84
Accuracy (46): 0.833
Accuracy (47): 0.827
Accuracy (48): 0.837
Accuracy (49): 0.834
Accuracy (50): 0.837
Accuracy (51): 0.827
Accuracy (52): 0.837
Accuracy (53): 0.832
Accuracy (54): 0.839
Accuracy (55): 0.826
Accuracy (56): 0.838
Accuracy (57): 0.839
Accuracy (58): 0.839
Accuracy (59): 0.846
Accuracy (60): 0.833
Accuracy (61): 0.827
Accuracy (62): 0.835
Accuracy (63): 0.829
Accuracy (64): 0.83
Accuracy (65): 0.831
Accuracy (66): 0.829
Accuracy (67): 0.829
Accuracy (68): 0.828
Accuracy (69): 0.834
Accuracy (70): 0.833
Accuracy (71): 0.829
Accuracy (72): 0.833
Accuracy (73): 0.831
Accuracy (74): 0.839
Accuracy (75): 0.84
Accuracy (76): 0.831
Accuracy (77): 0.84
Accuracy (78): 0.83
Accuracy (79): 0.827
Accuracy (80): 0.838
Accuracy (81): 0.837
Accuracy (82): 0.838
Accuracy (83): 0.833
Accuracy (84): 0.831
Accuracy (85): 0.829
Accuracy (86): 0.831
Accuracy (87): 0.824
Accuracy (88): 0.827
Accuracy (89): 0.838
Accuracy (90): 0.838
Accuracy (91): 0.833
Accuracy (92): 0.838
Accuracy (93): 0.835
Accuracy (94): 0.832
Accuracy (95): 0.832
Accuracy (96): 0.831
Accuracy (97): 0.835
Accuracy (98): 0.839
Accuracy (99): 0.845
Accuracy (100): 0.833
Accuracy (101): 0.839
Accuracy (102): 0.833
Accuracy (103): 0.825
Accuracy (104): 0.838
Accuracy (105): 0.822
Accuracy (106): 0.836
Accuracy (107): 0.831
Accuracy (108): 0.842
Accuracy (109): 0.841
Accuracy (110): 0.828
Accuracy (111): 0.843
Accuracy (112): 0.836
Accuracy (113): 0.843
Accuracy (114): 0.836
Accuracy (115): 0.824
Accuracy (116): 0.828
Accuracy (117): 0.838
Accuracy (118): 0.831
Accuracy (119): 0.838
Accuracy (120): 0.845
Accuracy (121): 0.836
Accuracy (122): 0.832
Accuracy (123): 0.84
Accuracy (124): 0.833
Accuracy (125): 0.843
Accuracy (126): 0.839
Accuracy (127): 0.839
Accuracy (128): 0.836
Accuracy (129): 0.831
Accuracy (130): 0.834
Accuracy (131): 0.835
Accuracy (132): 0.824
Accuracy (133): 0.82
Accuracy (134): 0.831
Accuracy (135): 0.832
Accuracy (136): 0.832
Accuracy (137): 0.834
Accuracy (138): 0.836
Accuracy (139): 0.84
Accuracy (140): 0.839
Accuracy (141): 0.83
Accuracy (142): 0.827
Accuracy (143): 0.835
Accuracy (144): 0.838
Accuracy (145): 0.827
Accuracy (146): 0.835
Accuracy (147): 0.834
Accuracy (148): 0.834
Accuracy (149): 0.826
Accuracy (150): 0.835
Accuracy (151): 0.84
Accuracy (152): 0.837
Accuracy (153): 0.839
Accuracy (154): 0.831
Accuracy (155): 0.84
Accuracy (156): 0.838
Accuracy (157): 0.828
Accuracy (158): 0.822
Accuracy (159): 0.831
Accuracy (160): 0.834
Accuracy (161): 0.838
Accuracy (162): 0.842
Accuracy (163): 0.831
Accuracy (164): 0.828
Accuracy (165): 0.822
Accuracy (166): 0.836
Accuracy (167): 0.832
Accuracy (168): 0.83
Accuracy (169): 0.833
Accuracy (170): 0.833
Accuracy (171): 0.835
Accuracy (172): 0.836
Accuracy (173): 0.84
Accuracy (174): 0.846
Accuracy (175): 0.827
Accuracy (176): 0.839
Accuracy (177): 0.837
Accuracy (178): 0.837
Accuracy (179): 0.83
Accuracy (180): 0.834
Accuracy (181): 0.838
Accuracy (182): 0.845
Accuracy (183): 0.846
Accuracy (184): 0.837
Accuracy (185): 0.836
Accuracy (186): 0.833
Accuracy (187): 0.829
Accuracy (188): 0.843
Accuracy (189): 0.836
Accuracy (190): 0.837
Accuracy (191): 0.832
Accuracy (192): 0.822
Accuracy (193): 0.832
Accuracy (194): 0.843
Accuracy (195): 0.844
Accuracy (196): 0.847
Accuracy (197): 0.843
Accuracy (198): 0.847
Accuracy (199): 0.845
Accuracy (200): 0.844
Accuracy (201): 0.836
Accuracy (202): 0.833
Accuracy (203): 0.835
Accuracy (204): 0.824
Accuracy (205): 0.827
Accuracy (206): 0.826
Accuracy (207): 0.831
Accuracy (208): 0.83
Accuracy (209): 0.836
Accuracy (210): 0.829
Accuracy (211): 0.83
Accuracy (212): 0.832
Accuracy (213): 0.839
Accuracy (214): 0.826
Accuracy (215): 0.844
Accuracy (216): 0.821
Accuracy (217): 0.835
Accuracy (218): 0.824
Accuracy (219): 0.834
Accuracy (220): 0.823
Accuracy (221): 0.837
Accuracy (222): 0.835
Accuracy (223): 0.827
Accuracy (224): 0.826
Accuracy (225): 0.836
Accuracy (226): 0.84
Accuracy (227): 0.831
Accuracy (228): 0.839
Accuracy (229): 0.823
Accuracy (230): 0.829
Accuracy (231): 0.828
Accuracy (232): 0.826
Accuracy (233): 0.828
Accuracy (234): 0.834
Accuracy (235): 0.82
Accuracy (236): 0.827
Accuracy (237): 0.83
Accuracy (238): 0.839
Accuracy (239): 0.825
Accuracy (240): 0.828
Accuracy (241): 0.83
Accuracy (242): 0.829
Accuracy (243): 0.832
Accuracy (244): 0.83
Accuracy (245): 0.826
Accuracy (246): 0.83
Accuracy (247): 0.819
Accuracy (248): 0.82
Accuracy (249): 0.827
Accuracy (250): 0.828
Accuracy (251): 0.827
Accuracy (252): 0.827
Accuracy (253): 0.82
Accuracy (254): 0.832
Accuracy (255): 0.827
Accuracy (256): 0.828
